cohort,days_since,raw_wl
Early (≤30d),0.0,0.0
Early (≤30d),1.0,-0.12174046467269317
Early (≤30d),2.0,-0.24446566332313283
Early (≤30d),3.0,-0.3682427504775223
Early (≤30d),4.0,-0.4929767422127611
Early (≤30d),5.0,-0.6183932887857194
Early (≤30d),6.0,-0.7439685039922327
Early (≤30d),7.0,-0.869330750482142
Early (≤30d),8.0,-1.0036852400143357
Early (≤30d),9.0,-1.143968317701043
Early (≤30d),10.0,-1.2877836746326663
Early (≤30d),11.0,-1.431602535721723
Early (≤30d),12.0,-1.5728564555097562
Early (≤30d),13.0,-1.7100748007844995
Early (≤30d),14.0,-1.8438126665779417
Early (≤30d),15.0,-1.974513166791638
Early (≤30d),16.0,-2.1091957464748248
Early (≤30d),17.0,-2.244636769350516
Early (≤30d),18.0,-2.3789213851423363
Early (≤30d),19.0,-2.5087668491261708
Early (≤30d),20.0,-2.633564634402962
Early (≤30d),21.0,-2.754911972385284
Early (≤30d),22.0,-2.875058946282807
Early (≤30d),23.0,-2.9925308581556576
Early (≤30d),24.0,-3.1117270449032324
Early (≤30d),25.0,-3.2291772507555985
Early (≤30d),26.0,-3.346082373346561
Early (≤30d),27.0,-3.4634328046499694
Early (≤30d),28.0,-3.5817474443899213
Early (≤30d),29.0,-3.701168873265392
Early (≤30d),30.0,-3.8267229895624255
Early (≤30d),31.0,-3.9451153471989966
Early (≤30d),32.0,-4.062422045776647
Early (≤30d),33.0,-4.1805913983707645
Early (≤30d),34.0,-4.300817634182447
Early (≤30d),35.0,-4.422403094915855
Early (≤30d),36.0,-4.542927459937212
Early (≤30d),37.0,-4.660482577171982
Early (≤30d),38.0,-4.774557768233901
Early (≤30d),39.0,-4.885988084563525
Early (≤30d),40.0,-4.995198083971676
Early (≤30d),41.0,-5.0977341752852
Early (≤30d),42.0,-5.2029481357712495
Early (≤30d),43.0,-5.305228493549556
Early (≤30d),44.0,-5.4048230540471
Early (≤30d),45.0,-5.502408638940507
Early (≤30d),46.0,-5.596584929006739
Early (≤30d),47.0,-5.692331909092048
Early (≤30d),48.0,-5.787018655683522
Early (≤30d),49.0,-5.880215891515218
Early (≤30d),50.0,-5.971806739913774
Early (≤30d),51.0,-6.058418162844897
Early (≤30d),52.0,-6.1460704354231
Early (≤30d),53.0,-6.2301878037183105
Early (≤30d),54.0,-6.310463512667037
Early (≤30d),55.0,-6.387669763095703
Early (≤30d),56.0,-6.457735057857563
Early (≤30d),57.0,-6.533221855167477
Early (≤30d),58.0,-6.608523782500714
Early (≤30d),59.0,-6.683291827923791
Early (≤30d),60.0,-6.756687800619457
Early (≤30d),61.0,-6.828447680208656
Early (≤30d),62.0,-6.897479392908106
Early (≤30d),63.0,-6.968574683911072
Early (≤30d),64.0,-7.0399189911852735
Early (≤30d),65.0,-7.111411651596943
Early (≤30d),66.0,-7.18250840159385
Early (≤30d),67.0,-7.25321120002707
Early (≤30d),68.0,-7.322493913907469
Early (≤30d),69.0,-7.3912206628420725
Early (≤30d),70.0,-7.459752433537331
Early (≤30d),71.0,-7.528151949988118
Early (≤30d),72.0,-7.595848715125011
Early (≤30d),73.0,-7.663041645855792
Early (≤30d),74.0,-7.730562469537877
Early (≤30d),75.0,-7.798947262253353
Early (≤30d),76.0,-7.869470139865184
Early (≤30d),77.0,-7.940496081017756
