Variable,Cluster_0,Cluster_1,p-value,Test_Used,Effect_Sizes
N (sample size),112,157,N/A,N/A,N/A
sex_f,92 (82.1%),130 (82.8%),1.000,chi_square,N/A
age,46.66 ± 10.35 (n=112),46.27 ± 11.05 (n=157),0.772,anova,G1vsG2: 0.036
height_m,1.65 ± 0.07 (n=112),1.66 ± 0.08 (n=157),0.447,anova,G1vsG2: -0.094
baseline_weight_kg,81.82 ± 11.39 (n=112),83.43 ± 12.36 (n=157),0.303,kruskal_wallis,G1vsG2: -0.135
baseline_bmi,29.92 ± 2.92 (n=112),30.23 ± 2.95 (n=157),0.501,kruskal_wallis,G1vsG2: -0.104
baseline_fat_%,40.34 ± 5.96 (n=112),41.11 ± 5.73 (n=157),0.400,kruskal_wallis,G1vsG2: -0.133
baseline_muscle_%,30.01 ± 4.04 (n=112),29.52 ± 4.09 (n=157),0.330,anova,G1vsG2: 0.121
total_followup_days,77.90 ± 64.89 (n=112),77.81 ± 70.58 (n=157),0.676,kruskal_wallis,G1vsG2: 0.001
instant_dropout,4 (3.6%),8 (5.1%),0.766,fisher_exact,N/A
dietitian_visits,4.70 ± 4.08 (n=112),4.27 ± 3.14 (n=157),0.873,kruskal_wallis,G1vsG2: 0.119
nr_total_measurements,15.34 ± 16.22 (n=112),16.75 ± 19.45 (n=157),0.735,kruskal_wallis,G1vsG2: -0.077
avg_days_between_measurements,7.16 ± 5.36 (n=108),6.67 ± 5.58 (n=149),0.302,kruskal_wallis,G1vsG2: 0.089
last_aval_weight_kg,74.73 ± 11.16 (n=112),75.97 ± 12.06 (n=157),0.391,anova,G1vsG2: -0.106
total_wl_kg,-7.09 ± 4.78 (n=112),-7.46 ± 5.33 (n=157),0.560,anova,G1vsG2: 0.072
total_wl_%,-8.65 ± 5.69 (n=112),-8.87 ± 6.00 (n=157),0.761,anova,G1vsG2: 0.038
final_bmi,27.33 ± 3.06 (n=112),27.54 ± 3.12 (n=157),0.593,anova,G1vsG2: -0.066
bmi_reduction,-2.59 ± 1.72 (n=112),-2.69 ± 1.91 (n=157),0.654,anova,G1vsG2: 0.056
last_aval_fat_%,35.55 ± 6.30 (n=112),36.02 ± 6.35 (n=157),0.546,anova,G1vsG2: -0.075
