Variable,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,p-value,Test_Used,Effect_Sizes
N (sample size),49,17,46,61,96,N/A,N/A,N/A
sex_f,39 (79.6%),11 (64.7%),42 (91.3%),57 (93.4%),73 (76.0%),0.006,chi_square,N/A
age,47.00 ± 9.62 (n=49),50.65 ± 12.87 (n=17),44.83 ± 9.86 (n=46),46.49 ± 9.05 (n=61),46.14 ± 12.20 (n=96),0.428,anova,G1vsG2: -0.347; G1vsG3: 0.223; G1vsG4: 0.055; G1vsG5: 0.076; G2vsG3: 0.542; G2vsG4: 0.417; G2vsG5: 0.367; G3vsG4: -0.177; G3vsG5: -0.114; G4vsG5: 0.032
height_m,1.65 ± 0.07 (n=49),1.67 ± 0.09 (n=17),1.64 ± 0.06 (n=46),1.64 ± 0.06 (n=61),1.67 ± 0.08 (n=96),0.052,anova,G1vsG2: -0.268; G1vsG3: 0.107; G1vsG4: 0.179; G1vsG5: -0.250; G2vsG3: 0.408; G2vsG4: 0.478; G2vsG5: 0.017; G3vsG4: 0.080; G3vsG5: -0.361; G4vsG5: -0.430
baseline_weight_kg,82.95 ± 12.11 (n=49),81.30 ± 13.24 (n=17),80.81 ± 9.92 (n=46),81.15 ± 10.67 (n=61),84.88 ± 13.17 (n=96),0.233,anova,G1vsG2: 0.133; G1vsG3: 0.192; G1vsG4: 0.158; G1vsG5: -0.150; G2vsG3: 0.045; G2vsG4: 0.013; G2vsG5: -0.271; G3vsG4: -0.033; G3vsG5: -0.333; G4vsG5: -0.304
baseline_bmi,30.34 ± 3.05 (n=49),28.88 ± 2.56 (n=17),29.86 ± 2.86 (n=46),30.14 ± 2.86 (n=61),30.29 ± 3.03 (n=96),0.461,kruskal_wallis,G1vsG2: 0.497; G1vsG3: 0.161; G1vsG4: 0.069; G1vsG5: 0.017; G2vsG3: -0.352; G2vsG4: -0.448; G2vsG5: -0.474; G3vsG4: -0.095; G3vsG5: -0.143; G4vsG5: -0.051
baseline_fat_%,40.79 ± 6.33 (n=49),37.06 ± 5.46 (n=17),41.06 ± 5.41 (n=46),41.73 ± 4.83 (n=61),40.72 ± 6.23 (n=96),0.105,kruskal_wallis,G1vsG2: 0.610; G1vsG3: -0.046; G1vsG4: -0.169; G1vsG5: 0.012; G2vsG3: -0.739; G2vsG4: -0.941; G2vsG5: -0.598; G3vsG4: -0.131; G3vsG5: 0.057; G4vsG5: 0.176
baseline_muscle_%,29.72 ± 4.53 (n=49),31.21 ± 3.61 (n=17),29.88 ± 3.60 (n=46),29.15 ± 3.43 (n=61),29.76 ± 4.46 (n=96),0.470,anova,G1vsG2: -0.347; G1vsG3: -0.040; G1vsG4: 0.143; G1vsG5: -0.009; G2vsG3: 0.370; G2vsG4: 0.595; G2vsG5: 0.336; G3vsG4: 0.208; G3vsG5: 0.029; G4vsG5: -0.148
total_followup_days,82.55 ± 68.71 (n=49),76.88 ± 67.85 (n=17),73.33 ± 60.57 (n=46),77.49 ± 65.42 (n=61),78.01 ± 74.01 (n=96),0.974,kruskal_wallis,G1vsG2: 0.083; G1vsG3: 0.142; G1vsG4: 0.076; G1vsG5: 0.063; G2vsG3: 0.057; G2vsG4: -0.009; G2vsG5: -0.015; G3vsG4: -0.066; G3vsG5: -0.067; G4vsG5: -0.007
instant_dropout,2 (4.1%),1 (5.9%),1 (2.2%),4 (6.6%),4 (4.2%),N/A,insufficient_expected_freq,N/A
dietitian_visits,5.18 ± 4.29 (n=49),3.94 ± 2.73 (n=17),4.46 ± 4.27 (n=46),4.48 ± 2.92 (n=61),4.15 ± 3.27 (n=96),0.652,kruskal_wallis,G1vsG2: 0.314; G1vsG3: 0.170; G1vsG4: 0.197; G1vsG5: 0.285; G2vsG3: -0.131; G2vsG4: -0.185; G2vsG5: -0.064; G3vsG4: -0.005; G3vsG5: 0.086; G4vsG5: 0.105
nr_total_measurements,16.29 ± 20.04 (n=49),17.59 ± 12.72 (n=17),13.50 ± 12.51 (n=46),15.03 ± 14.94 (n=61),17.83 ± 21.85 (n=96),0.727,kruskal_wallis,G1vsG2: -0.070; G1vsG3: 0.166; G1vsG4: 0.072; G1vsG5: -0.073; G2vsG3: 0.325; G2vsG4: 0.176; G2vsG5: -0.012; G3vsG4: -0.110; G3vsG5: -0.224; G4vsG5: -0.144
avg_days_between_measurements,7.86 ± 6.06 (n=47),4.80 ± 2.61 (n=16),7.26 ± 5.16 (n=45),6.92 ± 5.30 (n=57),6.51 ± 5.76 (n=92),0.222,kruskal_wallis,G1vsG2: 0.565; G1vsG3: 0.106; G1vsG4: 0.166; G1vsG5: 0.231; G2vsG3: -0.530; G2vsG4: -0.437; G2vsG5: -0.315; G3vsG4: 0.065; G3vsG5: 0.135; G4vsG5: 0.074
last_aval_weight_kg,75.12 ± 11.72 (n=49),74.62 ± 13.22 (n=17),74.34 ± 9.91 (n=46),73.26 ± 10.63 (n=61),77.69 ± 12.64 (n=96),0.185,anova,G1vsG2: 0.041; G1vsG3: 0.072; G1vsG4: 0.167; G1vsG5: -0.208; G2vsG3: 0.026; G2vsG4: 0.121; G2vsG5: -0.241; G3vsG4: 0.105; G3vsG5: -0.283; G4vsG5: -0.372
total_wl_kg,-7.82 ± 5.03 (n=49),-6.68 ± 3.82 (n=17),-6.47 ± 4.81 (n=46),-7.89 ± 6.05 (n=61),-7.19 ± 4.82 (n=96),0.583,anova,G1vsG2: -0.241; G1vsG3: -0.276; G1vsG4: 0.012; G1vsG5: -0.130; G2vsG3: -0.046; G2vsG4: 0.215; G2vsG5: 0.109; G3vsG4: 0.257; G3vsG5: 0.149; G4vsG5: -0.133
total_wl_%,-9.40 ± 6.02 (n=49),-8.33 ± 4.76 (n=17),-7.97 ± 5.65 (n=46),-9.61 ± 6.95 (n=61),-8.40 ± 5.29 (n=96),0.534,anova,G1vsG2: -0.187; G1vsG3: -0.246; G1vsG4: 0.031; G1vsG5: -0.181; G2vsG3: -0.068; G2vsG4: 0.195; G2vsG5: 0.013; G3vsG4: 0.256; G3vsG5: 0.081; G4vsG5: -0.202
final_bmi,27.48 ± 3.18 (n=49),26.49 ± 2.60 (n=17),27.48 ± 3.10 (n=46),27.21 ± 3.00 (n=61),27.74 ± 3.19 (n=96),0.582,anova,G1vsG2: 0.325; G1vsG3: -0.002; G1vsG4: 0.087; G1vsG5: -0.082; G2vsG3: -0.335; G2vsG4: -0.247; G2vsG5: -0.403; G3vsG4: 0.090; G3vsG5: -0.081; G4vsG5: -0.170
bmi_reduction,-2.86 ± 1.82 (n=49),-2.39 ± 1.38 (n=17),-2.38 ± 1.72 (n=46),-2.93 ± 2.25 (n=61),-2.55 ± 1.65 (n=96),0.455,anova,G1vsG2: -0.271; G1vsG3: -0.271; G1vsG4: 0.032; G1vsG5: -0.183; G2vsG3: -0.009; G2vsG4: 0.253; G2vsG5: 0.094; G3vsG4: 0.268; G3vsG5: 0.100; G4vsG5: -0.199
last_aval_fat_%,35.52 ± 6.25 (n=49),32.65 ± 6.02 (n=17),36.65 ± 6.23 (n=46),36.23 ± 5.22 (n=61),35.88 ± 6.99 (n=96),0.245,anova,G1vsG2: 0.463; G1vsG3: -0.181; G1vsG4: -0.125; G1vsG5: -0.054; G2vsG3: -0.647; G2vsG4: -0.663; G2vsG5: -0.472; G3vsG4: 0.073; G3vsG5: 0.113; G4vsG5: 0.055
total_fat_loss_%,-5.28 ± 3.45 (n=49),-4.41 ± 2.59 (n=17),-4.42 ± 3.25 (n=46),-5.50 ± 4.16 (n=61),-4.84 ± 3.28 (n=96),0.477,anova,G1vsG2: -0.267; G1vsG3: -0.256; G1vsG4: 0.058; G1vsG5: -0.131; G2vsG3: 0.004; G2vsG4: 0.282; G2vsG5: 0.135; G3vsG4: 0.285; G3vsG5: 0.129; G4vsG5: -0.181
last_aval_muscle_%,32.70 ± 4.30 (n=49),33.78 ± 4.03 (n=17),32.37 ± 4.08 (n=46),32.31 ± 3.72 (n=61),32.55 ± 4.89 (n=96),0.795,anova,G1vsG2: -0.256; G1vsG3: 0.078; G1vsG4: 0.097; G1vsG5: 0.031; G2vsG3: 0.348; G2vsG4: 0.388; G2vsG5: 0.257; G3vsG4: 0.015; G3vsG5: -0.040; G4vsG5: -0.054
total_muscle_change_%,2.98 ± 1.99 (n=49),2.57 ± 1.66 (n=17),2.49 ± 1.90 (n=46),3.16 ± 2.41 (n=61),2.80 ± 2.02 (n=96),0.503,anova,G1vsG2: 0.216; G1vsG3: 0.252; G1vsG4: -0.081; G1vsG5: 0.091; G2vsG3: 0.043; G2vsG4: -0.261; G2vsG5: -0.117; G3vsG4: -0.304; G3vsG5: -0.155; G4vsG5: 0.167
hunger_yn,49 (100.0%),5 (29.4%),0 (0.0%),59 (96.7%),94 (97.9%),N/A,insufficient_expected_freq,N/A
satiety_yn,0 (0.0%),0 (0.0%),18 (39.1%),61 (100.0%),96 (100.0%),N/A,insufficient_expected_freq,N/A
emotional_eating_yn,49 (100.0%),0 (0.0%),45 (97.8%),57 (93.4%),85 (88.5%),N/A,insufficient_expected_freq,N/A
emotional_eating_value_likert,0 (0.0%),0 (0.0%),0 (0.0%),6 (9.8%),4 (4.2%),N/A,insufficient_expected_freq,N/A
quantity_control_likert,2 (4.1%),1 (5.9%),0 (0.0%),6 (9.8%),1 (1.0%),N/A,insufficient_expected_freq,N/A
impulse_control_likert,4 (8.2%),0 (0.0%),1 (2.2%),3 (4.9%),2 (2.1%),N/A,insufficient_expected_freq,N/A
womens_health_and_pregnancy,13 (26.5%),8 (47.1%),15 (32.6%),44 (72.1%),0 (0.0%),<0.001,chi_square,N/A
mental_health,16 (32.7%),1 (5.9%),15 (32.6%),16 (26.2%),28 (29.2%),0.262,chi_square,N/A
family_issues,1 (2.0%),0 (0.0%),1 (2.2%),3 (4.9%),11 (11.5%),N/A,insufficient_expected_freq,N/A
medication_disease_injury,5 (10.2%),2 (11.8%),4 (8.7%),13 (21.3%),0 (0.0%),N/A,insufficient_expected_freq,N/A
physical_inactivity,11 (22.4%),5 (29.4%),6 (13.0%),12 (19.7%),26 (27.1%),0.369,chi_square,N/A
eating_habits,24 (49.0%),6 (35.3%),18 (39.1%),11 (18.0%),44 (45.8%),0.004,chi_square,N/A
schedule,7 (14.3%),0 (0.0%),2 (4.3%),3 (4.9%),6 (6.2%),N/A,insufficient_expected_freq,N/A
smoking_cessation,1 (2.0%),1 (5.9%),4 (8.7%),3 (4.9%),4 (4.2%),N/A,insufficient_expected_freq,N/A
treatment_discontinuation_or_relapse,1 (2.0%),0 (0.0%),3 (6.5%),11 (18.0%),0 (0.0%),N/A,insufficient_expected_freq,N/A
pandemic,7 (14.3%),0 (0.0%),4 (8.7%),5 (8.2%),18 (18.8%),0.109,chi_square,N/A
lifestyle_circumstances,7 (14.3%),0 (0.0%),8 (17.4%),4 (6.6%),20 (20.8%),0.052,chi_square,N/A
none_of_above,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),N/A,insufficient_expected_freq,N/A
40d_dropout,16 (32.7%),5 (29.4%),17 (37.0%),23 (37.7%),30 (31.2%),0.898,chi_square,N/A
wl_40d_%,-8.01 ± 3.31 (n=33),-8.96 ± 2.76 (n=12),-7.42 ± 3.75 (n=29),-8.23 ± 2.99 (n=38),-8.23 ± 3.23 (n=66),0.683,anova,G1vsG2: 0.301; G1vsG3: -0.165; G1vsG4: 0.072; G1vsG5: 0.069; G2vsG3: -0.440; G2vsG4: -0.249; G2vsG5: -0.231; G3vsG4: 0.242; G3vsG5: 0.238; G4vsG5: 0.000
40d_fat_loss_%,-4.57 ± 2.02 (n=33),-4.74 ± 1.49 (n=12),-4.11 ± 2.16 (n=29),-4.82 ± 1.85 (n=38),-4.80 ± 2.14 (n=66),0.598,anova,G1vsG2: 0.088; G1vsG3: -0.224; G1vsG4: 0.125; G1vsG5: 0.108; G2vsG3: -0.318; G2vsG4: 0.042; G2vsG5: 0.029; G3vsG4: 0.356; G3vsG5: 0.323; G4vsG5: -0.008
40d_muscle_change_%,2.63 ± 1.28 (n=33),2.80 ± 1.01 (n=12),2.39 ± 1.36 (n=29),2.87 ± 1.23 (n=38),2.84 ± 1.43 (n=66),0.565,anova,G1vsG2: -0.133; G1vsG3: 0.183; G1vsG4: -0.192; G1vsG5: -0.147; G2vsG3: 0.317; G2vsG4: -0.066; G2vsG5: -0.029; G3vsG4: -0.375; G3vsG5: -0.315; G4vsG5: 0.028
60d_dropout,23 (46.9%),8 (47.1%),23 (50.0%),29 (47.5%),56 (58.3%),0.599,chi_square,N/A
wl_60d_%,-10.65 ± 3.93 (n=26),-9.32 ± 5.03 (n=9),-9.40 ± 4.12 (n=23),-10.98 ± 3.07 (n=32),-10.49 ± 2.93 (n=40),0.463,anova,G1vsG2: -0.314; G1vsG3: -0.311; G1vsG4: 0.095; G1vsG5: -0.047; G2vsG3: 0.018; G2vsG4: 0.466; G2vsG5: 0.346; G3vsG4: 0.446; G3vsG5: 0.320; G4vsG5: -0.163
60d_fat_loss_%,-5.91 ± 2.21 (n=26),-4.92 ± 2.66 (n=9),-5.21 ± 2.34 (n=23),-6.32 ± 1.96 (n=32),-6.04 ± 2.03 (n=40),0.236,anova,G1vsG2: -0.428; G1vsG3: -0.309; G1vsG4: 0.198; G1vsG5: 0.061; G2vsG3: 0.121; G2vsG4: 0.664; G2vsG5: 0.524; G3vsG4: 0.524; G3vsG5: 0.387; G4vsG5: -0.142
60d_muscle_change_%,3.32 ± 1.37 (n=26),2.96 ± 1.74 (n=9),3.04 ± 1.44 (n=23),3.72 ± 1.28 (n=32),3.53 ± 1.39 (n=40),0.337,anova,G1vsG2: 0.246; G1vsG3: 0.205; G1vsG4: -0.303; G1vsG5: -0.148; G2vsG3: -0.049; G2vsG4: -0.550; G2vsG5: -0.389; G3vsG4: -0.510; G3vsG5: -0.349; G4vsG5: 0.146
80d_dropout,27 (55.1%),13 (76.5%),33 (71.7%),40 (65.6%),60 (62.5%),0.381,chi_square,N/A
wl_80d_%,-12.22 ± 4.70 (n=22),-10.61 ± 3.47 (n=4),-10.49 ± 4.52 (n=13),-12.34 ± 3.42 (n=21),-11.44 ± 2.67 (n=36),0.560,anova,G1vsG2: -0.355; G1vsG3: -0.374; G1vsG4: 0.027; G1vsG5: -0.219; G2vsG3: -0.027; G2vsG4: 0.505; G2vsG5: 0.305; G3vsG4: 0.477; G3vsG5: 0.293; G4vsG5: -0.301
80d_fat_loss_%,-6.85 ± 2.48 (n=22),-4.79 ± 1.68 (n=4),-5.72 ± 2.78 (n=13),-6.99 ± 2.19 (n=21),-6.76 ± 1.95 (n=36),0.235,anova,G1vsG2: -0.861; G1vsG3: -0.436; G1vsG4: 0.060; G1vsG5: -0.042; G2vsG3: 0.357; G2vsG4: 1.032; G2vsG5: 1.019; G3vsG4: 0.523; G3vsG5: 0.474; G4vsG5: -0.113
80d_muscle_change_%,3.87 ± 1.44 (n=22),2.65 ± 1.04 (n=4),3.14 ± 1.69 (n=13),3.97 ± 1.34 (n=21),3.99 ± 1.31 (n=36),0.166,anova,G1vsG2: 0.877; G1vsG3: 0.478; G1vsG4: -0.069; G1vsG5: -0.085; G2vsG3: -0.308; G2vsG4: -1.007; G2vsG5: -1.037; G3vsG4: -0.558; G3vsG5: -0.599; G4vsG5: -0.015
5%_wl_achieved,37 (75.5%),15 (88.2%),34 (73.9%),43 (70.5%),68 (70.8%),0.625,chi_square,N/A
days_to_5%_wl,23.16 ± 17.47 (n=37),16.53 ± 13.01 (n=15),25.97 ± 23.75 (n=34),20.16 ± 11.52 (n=43),20.25 ± 11.08 (n=68),0.320,kruskal_wallis,G1vsG2: 0.406; G1vsG3: -0.136; G1vsG4: 0.206; G1vsG5: 0.213; G2vsG3: -0.447; G2vsG4: -0.305; G2vsG5: -0.325; G3vsG4: 0.323; G3vsG5: 0.349; G4vsG5: -0.008
10%_wl_achieved,22 (44.9%),7 (41.2%),19 (41.3%),29 (47.5%),43 (44.8%),0.974,chi_square,N/A
days_to_10%_wl,52.45 ± 29.51 (n=22),41.00 ± 14.54 (n=7),55.95 ± 30.71 (n=19),52.86 ± 19.98 (n=29),49.60 ± 22.88 (n=43),0.549,kruskal_wallis,G1vsG2: 0.426; G1vsG3: -0.116; G1vsG4: -0.017; G1vsG5: 0.113; G2vsG3: -0.542; G2vsG4: -0.620; G2vsG5: -0.391; G3vsG4: 0.125; G3vsG5: 0.249; G4vsG5: 0.150
15%_wl_achieved,14 (28.6%),2 (11.8%),7 (15.2%),15 (24.6%),14 (14.6%),0.179,chi_square,N/A
days_to_15%_wl,90.07 ± 33.81 (n=14),86.00 ± 36.77 (n=2),98.00 ± 48.02 (n=7),84.13 ± 16.70 (n=15),105.50 ± 45.85 (n=14),0.583,anova,G1vsG2: 0.120; G1vsG3: -0.204; G1vsG4: 0.225; G1vsG5: -0.383; G2vsG3: -0.258; G2vsG4: 0.100; G2vsG5: -0.431; G3vsG4: 0.466; G3vsG5: -0.161; G4vsG5: -0.628
