index,tree_importance,model,importance_type,permutation_importance
total_followup_days,0.4433939675921516,base_only,tree_based,
baseline_bmi,0.19742241331112048,base_only,tree_based,
baseline_weight_kg,0.18357705969728882,base_only,tree_based,
age,0.151443250660819,base_only,tree_based,
sex_f,0.024163308738620052,base_only,tree_based,
total_followup_days,,base_only,permutation_test,0.12926829268292686
sex_f,,base_only,permutation_test,0.009756097560975618
baseline_bmi,,base_only,permutation_test,0.008292682926829265
age,,base_only,permutation_test,0.0073170731707317025
baseline_weight_kg,,base_only,permutation_test,0.0039024390243902474
total_followup_days,0.42418822865223166,plus_emot_yn,tree_based,
baseline_bmi,0.20145463089316457,plus_emot_yn,tree_based,
baseline_weight_kg,0.1816436755190148,plus_emot_yn,tree_based,
age,0.14872461562431338,plus_emot_yn,tree_based,
sex_f,0.02396346498470415,plus_emot_yn,tree_based,
emotional_eating_yn,0.020025384326571343,plus_emot_yn,tree_based,
total_followup_days,,plus_emot_yn,permutation_test,0.10731707317073166
sex_f,,plus_emot_yn,permutation_test,0.008292682926829253
age,,plus_emot_yn,permutation_test,-0.0014634146341463538
baseline_weight_kg,,plus_emot_yn,permutation_test,-0.0034146341463414777
emotional_eating_yn,,plus_emot_yn,permutation_test,-0.009268292682926838
baseline_bmi,,plus_emot_yn,permutation_test,-0.023414634146341484
total_followup_days,0.4156498507748871,plus_emot_likert,tree_based,
baseline_bmi,0.1799280366534422,plus_emot_likert,tree_based,
baseline_weight_kg,0.16876162163962452,plus_emot_likert,tree_based,
age,0.13543282506957274,plus_emot_likert,tree_based,
emotional_eating_value_likert,0.07590043389274796,plus_emot_likert,tree_based,
sex_f,0.024327231969725423,plus_emot_likert,tree_based,
total_followup_days,,plus_emot_likert,permutation_test,0.13804878048780492
age,,plus_emot_likert,permutation_test,0.02097560975609758
sex_f,,plus_emot_likert,permutation_test,0.015121951219512209
baseline_weight_kg,,plus_emot_likert,permutation_test,0.014634146341463428
baseline_bmi,,plus_emot_likert,permutation_test,0.012195121951219523
emotional_eating_value_likert,,plus_emot_likert,permutation_test,0.0039024390243902474
total_followup_days,0.40466642157216315,plus_emot_both,tree_based,
baseline_bmi,0.18122955444166963,plus_emot_both,tree_based,
baseline_weight_kg,0.16654967145311927,plus_emot_both,tree_based,
age,0.13886626230667398,plus_emot_both,tree_based,
emotional_eating_value_likert,0.07224727533200488,plus_emot_both,tree_based,
sex_f,0.023001381924990703,plus_emot_both,tree_based,
emotional_eating_yn,0.013439432969378337,plus_emot_both,tree_based,
total_followup_days,,plus_emot_both,permutation_test,0.13999999999999999
age,,plus_emot_both,permutation_test,0.022439024390243922
sex_f,,plus_emot_both,permutation_test,0.017073170731707332
baseline_weight_kg,,plus_emot_both,permutation_test,0.0034146341463414664
baseline_bmi,,plus_emot_both,permutation_test,0.0004878048780487809
emotional_eating_value_likert,,plus_emot_both,permutation_test,-0.0024390243902439046
emotional_eating_yn,,plus_emot_both,permutation_test,-0.006341463414634152
